description,category
concert ticket booking,entertainment
late fee payment,bills
late fee payment - Rs 150,bills
internet recharge via BSNL - Rs 100,utilities
home decor items got it during sale,home
college canteen maggi - Croma - tempered glass screen protector,electronics
NEFT received,finance
Practo - paracetamol and vitamins,health
apartment rent monthly bought because needed,rent
lab test at City Hospital,health
Ajio online - summer dress purchased from nearby store,shopping
paid bhaiya for delivery - Ikea - new bedsheet purchase from Ikea,home
mobile postpaid bill Electricity Board,utilities
Bank Transfer - bank transfer to friend - Rs 499,finance
bought T-shirt from Myntra paid for,shopping
upi payment,finance
Godrej Gift - gift box chocolates,gifts
Shell Fuel,auto
Lifestyle online,shopping
loan EMI deduction ordered online,bills
college fee payment,education
Apollo Pharmacy - Rs 199,health
bike service at Car Service Center,auto
college fee payment,education
bank transfer to friend - Rs 199,finance
doctor consult - fever,health
paid bhaiya for delivery - Bank Transfer - bank transfer to friend,finance
new backpack from Lifestyle,shopping
car wash and cleaning,auto
H&M online - summer dress purchased from nearby store - Rs 999,shopping
Udemy - python course bought because needed,education
Local Home Store - new bedsheet purchase from Local Home Store,home
IRCTC - train booking via IRCTC,travel
Nature's Basket - Rs 1200,groceries
doctor consult - fever bought because needed,health
PhonePe - bank transfer to friend,finance
bike service at HP Petrolpump,auto
ott subscriptn rental - Rs 299,entertainment
Amazon Prime annual plan purchased from nearby store - Rs 150,subscription
Loan EMI - loan EMI deduction,bills
anti ageing serum purchase,personal_care
house rent for september paid for,rent
bought flowers from Godrej Gift,gifts
upi payment ordered online,finance
pharmacy,health
concert ticket booking bought because needed,entertainment
Landlord Rent - rent payment to landlord,rent
TataCliq purchase,electronics
dinner at McDonald's with friends,food
bought T-shirt from H&M,shopping
Jio - water bill payment,utilities
Maintenance - maintenance charges for flat,bills
Spotify monthly subscription - Rs 199,subscription
got cashback from paytm - water bill payment,utilities
monthly groceries from Grofers ordered online,groceries
face wash and moisturizer from Nykaa,personal_care
late fee payment,bills
bus ticket to city purchased from nearby store,travel
monthly groceries from Nature's Basket bought for home use,groceries
car wash and cleaning - Rs 150,auto
doctor consult,health
pharmacy - antibiotics purchased from nearby store,health
exam form fee ordered online,education
bought flowers from Flower Store,gifts
membership renewal Spotify purchased from nearby store,subscription
mobile postpaid bill Electricity Board,utilities
flight ticket to delhi ordered online - Rs 1200,travel
anti ageing serum purchase,personal_care
doctor consult,health
fruits and veg purchase at Local Kirana - Rs 150,groceries
salary credited - ACME Corp purchased from nearby store,salary
breakfast - paratha and chai,food
PVR movie ticket,entertainment
bus ticket to city,travel
Pizza Hut - pizza for dinner got it during sale,food
exam form fee,education
"bread, butter, cereal from Nature's Basket",groceries
exam form fee,education
Sephora,personal_care
stationery purchase at Stationery Shop bought because needed,education
BSNL - mobile postpaid bill BSNL,utilities
fruits and veg purchase at Local Kirana,groceries
freelance payment client xyz,salary
Cafe Coffee Day order - burger and fries bought for home use - Rs 1200,food
Myntra - sneakers purchase,shopping
PhonePe - NEFT received,finance
Amazon - ordered power bank from Amazon,electronics
freelance payment client xyz,salary
pharmacy - antibiotics,health
PVR - game purchase on PVR,entertainment
mumma grocery - Lifestyle - new backpack from Lifestyle,shopping
monthly groceries from Grofers got it during sale,groceries
Flipkart purchase - bluetooth headphone paid for,electronics
late night snack from Cafe Coffee Day,food
took ola share - stationery purchase at Stationery Shop,education
Sephora - sunscreen spf 50 got it during sale,personal_care
new backpack from Zara paid for,shopping
invoice paid - Upwork,salary
Stationery Shop - python course,education
Coursera - stationery purchase at Coursera,education
dinner at McDonald's with friends,food
took ola share - house rent for september,rent
Flower Store - birthday gift for friend,gifts
bread,groceries
Udemy,education
exam form fee purchased from nearby store,education
fruits and veg purchase at Reliance Fresh,groceries
NEFT received,finance
YouTube Premium - YouTube Premium annual plan,subscription
NEFT - bank transfer to friend,finance
bought T,shopping
wallet topup NEFT,finance
doctor consult - fever ordered online,health
Flipkart - tempered glass screen protector bought because needed,electronics
bike service at Car Service Center,auto
shell fuel - bike servce at shell fuel,auto
bought T-shirt from Lifestyle bought for home use,shopping
NEFT received bought because needed,finance
rent payment to landlord got it during sale,rent
apartment rent monthly paid for,rent
